Synonym,Original_drug
3 3 5-Trimethylcyclohexyl mandelate,Cyclandelate
3 5 5-Trimethylcyclohexyl amygdalate,Cyclandelate
Ciclandelato,Cyclandelate
Cyclandelatum,Cyclandelate
Cyproterone 17-O-acetate,Cyproterone acetate
Debrisochinum,Debrisoquin
Debrisoquin,Debrisoquin
Debrisoquina,Debrisoquin
Debrisoquine,Debrisoquin
Debrisoquinum,Debrisoquin
Isocaramidine,Debrisoquin
1-[bis(4-fluorophenyl)methyl]-4-[(2E)-3-phenylprop-2-en-1-yl]piperazine,Flunarizine
Flunarizina,Flunarizine
Flunarizinum,Flunarizine
Fluspirileno,Fluspirilene
Fluspirilenum,Fluspirilene
Imap,Fluspirilene
Mepenzolate,Mepenzolate
Mepenzolic acid,Mepenzolate
1 2 4 6 7 11b-hexahydro-3-isobutyl-9 10-dimethoxy-2H-benzo[a]quinolizin-2-one,Tetrabenazine
2-oxo-3-isobutyl-9 10-dimethoxy-1 2 3 4 6 7-hexahydro-11bH-benzo[a]quinolizine,Tetrabenazine
2-oxo-3-isobutyl-9 10-dimethoxy-1 3 4 6 7 11b-hexahydro-2H-benzoquinolizine,Tetrabenazine
Tetrabenazina,Tetrabenazine
Tetrabenazinum,Tetrabenazine
Aza-epothilone B,Ixabepilone
Azaepothilone B,Ixabepilone
RS)-N'-{3-acetyl-4-[3-(tert-butylamino)-2-hydroxypropoxy]phenyl}-N N-diethylurea,Celiprolol
biricodar,Biricodar dicitrate
AEGR427,Implitapide
2-((Cyclohexylmethylene)hydrazino)adenosine,Binodenoson
MRE 0470,Binodenoson
2-(3-cyano-4-isobutoxyphenyl)-4-methyl- 1 3-thiazole-5-carboxylic acid,Febuxostat
FÃ©buxostat,Febuxostat
Febuxostat,Febuxostat
Febuxostatum,Febuxostat
N-(2-Butyl-3-(4-(3-(dibutylamino)propoxy)benzoyl)-5-benzofuranyl)-methanesulfonamide,Dronedarone
N-(2-Butyl-3-(P-(3-(dibutylamino)propoxy)benzoyl)-5-benzofuranyl)methanesulfonamide,Dronedarone
SR 33589,Dronedarone
SR 33589b,Dronedarone
CR 2017,Dexloxiglumide
1 2 4-benzotriazin-3-amine  1 4-dioxide,Tirapazamine
3-Amino-1 2 4-benzotriazine 1 4-dioxide,Tirapazamine
Zanepezil,Zanapezil
7-Deaza-7-thia-8-oxoguanosine,Isatoribine
7-Thia-8-oxoguanosine,Isatoribine
7-TOG,Isatoribine
1 1'-[Bis(6-fluoro-3 4-dihydro-2H-1-benzopyran-2-yl)]-2 2'-iminodiethanol,Nebivolol
1 1'-Bis(6-fluoro-3 4-dihydro-2H-1-benzopyran-2-yl)-2 2'-iminodiethanol,Nebivolol
alpha alpha'-(iminobismethylene)bis-(6-fluoro-3 4-dihydro-2H-1-benzopyran-2-methanol),Nebivolol
alpha alpha'-(iminodimethylene)bis-(6-fluoro-2-chromanmethanol),Nebivolol
Narbivolol,Nebivolol
Nebivololum,Nebivolol
MMPD,Merimepodib
(âˆ’)-huperazine A,Huperzine A
(âˆ’)-selagine,Huperzine A
L-huperzine A,Huperzine A
selagine,Huperzine A
(âˆ’)-homoharringtonine,Omacetaxine mepesuccinate
(2'R 3S 4S 5R)-(âˆ’)-homoharringtonine,Omacetaxine mepesuccinate
HHT,Omacetaxine mepesuccinate
Homoharringtonin,Omacetaxine mepesuccinate
Homoharringtonine,Omacetaxine mepesuccinate
(+/-)-trans-7-bromo-6-chloro-3-(3-(3-hydroxy-2-piperidyl)-acetonyl)-4(3H)-quinazolinone,Halofuginone
Nilotinibum,Nilotinib
Estrone 3-oleate,Oleoyl-estrone
Estrone monooleate,Oleoyl-estrone
Estrone oleic acid ester,Oleoyl-estrone
OE,Oleoyl-estrone
Oleoyl estrone,Oleoyl-estrone
Oleoylestrone,Oleoyl-estrone
Lorqess,Lorcaserin
(SP-4-3)-Amminedichloro(2-methylpyridine)platinium,Picoplatin
HMR 3480,Pralnacasan
EQUA,Vildagliptin
Galvus,Vildagliptin
Jalra,Vildagliptin
LAF237,Vildagliptin
NVP-LAF-237,Vildagliptin
NVP-LAF237,Vildagliptin
Vildagliptin,Vildagliptin
Xiliarx,Vildagliptin
Methyl-12-methoxy-13-(17-methoxy-17-oxovobasan-3alpha-yl)ibogamine-18-carboxylate,Voacamine
Voacanginine,Voacamine
Vocamine,Voacamine
Basen,Voglibose
1-(4-chloroanilino)-4-(4-pyridylmethyl)phthalazine succinate,Vatalanib
PTK 787,Vatalanib
PTK/ZK,Vatalanib
Perfan,Enoximone
ED-749,Edotecarin
Edotecarina,Edotecarin
Edotecarinum,Edotecarin
Dapoxetina,Dapoxetine
Dapoxetinum,Dapoxetine
(+)-calanolide A,Calanolide A
(+/-)-calanolide A,Calanolide A
BCV,Brecanavir
Bifeprunox mesilate,Bifeprunox
Bifeprunoxum,Bifeprunox
TAU-284DS,Bepotastine
(-)-eseroline phenylcarbamate,Phenserine
(-)-phenserine,Phenserine
Vapreotida,Vapreotide
Vapreotidum,Vapreotide
EYE 001,Pegaptanib
NX 1838,Pegaptanib
NX1838,Pegaptanib
Pegaptanib Octasodium,Pegaptanib
Pegaptanib sodium,Pegaptanib
(-)-milnacipran,Milnacipran
Midalcipran,Milnacipran
Milnacipran,Milnacipran
Milnacipranum,Milnacipran
ATI-02,Lucinactant
KL4-surfactant,Lucinactant
Ethyl 2-[[(1R)-1-cyclohexyl-2- [(2S)-2-[[4-(n'-hydroxycarbamimidoyl) phenyl]methylcarbamoyl]azetidin-1-yl]- 2-oxo-ethyl]amino]acetate,Ximelagatran
Exanta,Ximelagatran
Exarta,Ximelagatran
H 376-95,Ximelagatran
H 37695,Ximelagatran
Ximelagatranum,Ximelagatran
BNP,Nesiritide
Brain natriuretic peptide 32,Nesiritide
Natriuretic peptides B,Nesiritide
Nesiritide recombinant,Nesiritide
Talpha1,Thymalfasin
Thymalfasin,Thymalfasin
Thymosin alpha 1,Thymalfasin
Thymosin alpha1,Thymalfasin
Valopicitabine,Thymalfasin
Zadaxin,Thymalfasin
Anti-CD80 monoclonal antibody,Galiximab
ZYC101a,Amolimogene
Depmpe,Tesmilifene
DPPE,Tesmilifene
N N-diethyl-2-((4-phenylmethyl)phenoxy)ethanamine,Tesmilifene
Sitimagene ceradenovec,EG009
BIMT-17,Flibanserin
BIMT-17-BS,Flibanserin
8-aminoquinoline,Sitamaquine
WR-6026,Sitamaquine
(5-Propoxy-1H-benzimidazol-2-yl)carbamic acid methyl ester,Oxibendazole
5-Propoxy-2-benzimidazolecarbamic acid methyl ester,Oxibendazole
Methyl (5-propoxy-1H-benzimidazol-2-yl)carbamate,Oxibendazole
methyl 5-[n-propoxy]benzimidazole-2-carbamate,Oxibendazole
Methyl 5-n-propoxy-2-benzimidazole carbamate,Oxibendazole
Methyl 5-propoxy-2-benzimidazolecarbamate,Oxibendazole
OBZ,Oxibendazole
Oxibendazolo,Oxibendazole
Oxibendazolum,Oxibendazole
Oxybendazole,Oxibendazole
Chlorobiphenyl-chloroeremomycin,Oritavancin
SnMP,Stannsoporfin
Tin (IV) mesoporphyrin IX dichloride,Stannsoporfin
tin-mesoporphyrin,Stannsoporfin
Antigastrin 17,G17DT
Gastrin 17 immunogen,G17DT
Gastrin 17 vaccine,G17DT
3-(4-hydroxyphenyl)-2H-chromen-7-ol,Idronoxil
Dehydroequol,Idronoxil
Haginin E,Idronoxil
Phenoxodiol,Idronoxil
Ceftobiprole Medocaril ,Ceftobiprole
Clevidipine butyrate,Clevidipine
N-(p-(2-(Dimethylamino)ethoxy)benzyl)veratramide,Itopride
Desmodus rotundus salivary plasminogen activator,Desmoteplase
DSPA,Desmoteplase
(3-Phenoxyphenyl)methyl (+-)-cis trans-3-(2 2-dichloroethenyl)-2 2-dimethylcyclopropanecarboxylate,Permethrin
3-(2 2-Dichloroethenyl)-2 2-dimethylcyclopropane carboxylic acid  (3-phenoxyphenyl) methyl ester,Permethrin
Permethrin,Permethrin
Melanotan 1,Afamelanotide
Melanotan I,Afamelanotide
MT-I,Afamelanotide
3'-hydroxy-5'-(4-isobutyl-1-piperazinyl)benzoxazinorifamycin,Rifalazil
D-lyxo-hex-2-ulose,Tagatose
D-lyxo-hexulose,Tagatose
D-tag,Tagatose
D-tagatose,Tagatose
2-(4-(4-Chloro-1 2-diphenyl-but-1-enyl)phenoxy)ethanol,Ospemifene
2-(P-((Z)-4-Chloro-1 2-diphenyl-1-butenyl)phenoxy)ethanol,Ospemifene
Deamino-hydroxytoremifene,Ospemifene
Provir,Crofelemer
SP-303,Crofelemer
retinobenzoic acid,Tamibarotene
AICA-riboside,Acadesine
1-[4-[3-[4-(6-Fluoro-1 2-benzisoxazol-3-yl)-1- piperidinyl]propoxy]-3-methoxyphenyl]ethanone,Iloperidone
4'-(3-(4-(6-Fluoro-1 2-benzisoxazol-3-yl)piperidino)propoxy)-3'-methoxyacetophenone,Iloperidone
Fanapta,Iloperidone
Iloperidona,Iloperidone
Iloperidonum,Iloperidone
Zomaril,Iloperidone
2-(alpha-(2 6-Dichlorophenoxy)ethyl)2-imidazoline,Lofexidine
Lofexidina,Lofexidine
Lofexidinum,Lofexidine
h5G1.1-SC,Pexelizumab
Ethyl {2-amino-4-[(4-fluorobenzyl)amino]phenyl}carbamate,Ezogabine
Ethyl 2-amino-4-((P-fluorobenzyl)amino)carbanilate,Ezogabine
EZG,Ezogabine
N-(2-Amino-4-(4-fluorobenzylamino)-phenyl) carbamic acid ethyl ester,Ezogabine
N-(2-Amino-4-(4-fluorobenzylamino)phenyl)carbamic acid ethyl ester,Ezogabine
Retigabine,Ezogabine
RTG,Ezogabine
Fab 2,Afelimomab
MAK 195F,Afelimomab
anti-CD22 IgG,Epratuzumab
humanised anti-CD22 antibody,Epratuzumab
HPV 16 E7/HSP65 Vaccine,HspE7
HPV E7 Peptide Epitope Vaccine,HspE7
Zarnestra,Tipifarnib
(-)-ODDC,Troxacitabine
Recombinant human GAD65,rhGAD65
B43.13,Oregovomab
MOAB B43.13,Oregovomab
Monoclonal antibody B43.13,Oregovomab
Oregovamab,Oregovomab
1-((2-(Diethylamino)ethyl)amino)-4-methylthioxanthen-9-one,Lucanthone
1-{[2-(diethylamino)ethyl]amino}-4-methylthioxanthen-9-one,Lucanthone
1-diethylaminoethylethylamino-4-methyl-thioxanthenone,Lucanthone
Lucanthone,Lucanthone
Lucanthonum,Lucanthone
Lucantona,Lucanthone
Lesopitran,Lesopitron
JTT-501,Reglixane
AQ4N,Banoxantrone
Aplidine,Plitidepsin
Dehydrodidemnin B,Plitidepsin
plitidepsina,Plitidepsin
plitidepsine,Plitidepsin
plitidepsium,Plitidepsin
AS1411,AGRO100
PYY 3-36,AC162352
3-Ingenyl Angelate,Ingenol Mebutate
Ingenol 3-angelate,Ingenol Mebutate
ingenol mebutate,Ingenol Mebutate
3-[5-(2-fluorophenyl)-1 2 4-oxadiazol-3-yl]benzoic acid,Ataluren
EC-000.2051,Ataluren
Duramycin,Lancovutide
Urodilatin ularitide,Ularitide
5-(2-(5 6-Diethylindan-2-ylamino)-1-hydroxyethyl)-8-hydroxy-1H-quinolin-2-one,Indacaterol
QAB 149,Indacaterol
QAB-149,Indacaterol
QAB149,Indacaterol
BVDU,RP101
(34-L-glutamine)pancreatic hormone (human),Obinepitide
4-HPR,Fenretinide
4-hydroxy(phenyl)retinamide,Fenretinide
N-(4-Hydroxyphenyl)All-Trans Retinamide,Fenretinide
ATN-224,Tiomolibdate ion
(131I)-MN-14,Labetuzumab
hMN-14,Labetuzumab
MAb hMN14,Labetuzumab
monoclonal antibody hMN-14,Labetuzumab
Pivaloyloxymethyl butyrate,AN-9
Pivaloyloxymethylbutyrate,AN-9
Pivanex,AN-9
16alpha-bromoepiandrosterone,16-Bromoepiandrosterone
Ecteinascidin 743,Trabectedin
NXL-201,Aminocandin
17AAG,Tanespimycin
CA1P,OXI-4503
Combretastatin A-1 bis(phosphate),OXI-4503
Combretastatin A1 diphosphate,OXI-4503
OXI4503,OXI-4503
malaria vaccine,PEV3A
ThGLP-1,TH0318
AF267B,NGX267
NSL-043,SD118
Symphoglobulin-D,SYM001
Recombinant human mannan-binding protein,rhMBL
Recombinant human mannose-binding lectin,rhMBL
rhMBP,rhMBL
Expressed Interfering RNA,eiRNA
NUC B1000,eiRNA
Silver sulfadiazinate,Silver sulfadiazine
Silver sulfadiazine,Silver sulfadiazine
Silver sulphadiazine,Silver sulfadiazine
Sulfadiazine silver,Silver sulfadiazine
Sulfadiazine silver salt,Silver sulfadiazine
(RS)-1 3-Dimethyl-3-phenyl-2 5-pyrrolidindion,Methsuximide
1 3-Dimethyl-3-phenyl-2 5-dioxopyrrolidine,Methsuximide
1 3-Dimethyl-3-phenyl-2 5-pyrrolidinedione,Methsuximide
1 3-Dimethyl-3-phenyl-pyrrolidin-2 5-dione,Methsuximide
1 3-Dimethyl-3-phenylsuccinimide,Methsuximide
Alpha-methyl-alpha-phenyl n-methyl succinimide,Methsuximide
Alpha-methylphensuximide,Methsuximide
Mesuximida,Methsuximide
Mesuximide,Methsuximide
Mesuximidum,Methsuximide
Methsuximid,Methsuximide
Metosuccimmide,Methsuximide
Metsuccimide,Methsuximide
N-methyl-alpha-methyl-alpha-phenylsuccinimide,Methsuximide
N 2-Dimethyl-2-phenylsuccinimide,Methsuximide
Progenta,Proellex
Bovine Fibrinolysin,Fibrinolysin
Bovine Plasmin,Fibrinolysin
Fibrinolysin (human),Fibrinolysin
Fibrinolysin  human,Fibrinolysin
Plasmin (bos taurus),Fibrinolysin
Plasmin (bovine),Fibrinolysin
Plasmin bovine,Fibrinolysin
Interferon alfa,Natural alpha interferon
Interferon alpha,Natural alpha interferon
COP-1,Glatiramer Acetate
Copolymer-1,Glatiramer Acetate
Copoylmer 1,Glatiramer Acetate
Gallium nitrate (anhydrous),Gallium nitrate
Nitric acid  gallium salt  anhydrate,Gallium nitrate
1H-Pyrazolo[3 4-d]pyrimidine-4 6-diol,Oxypurinol
1H-Pyrazolo[3 4-d]pyrimidine-4 6(5H 7H)-dione,Oxypurinol
6-hydroxy allopurinol,Oxypurinol
Alloxanthin,Oxypurinol
Alloxanthine,Oxypurinol
DHPP,Oxypurinol
metabolite of allopurinol,Oxypurinol
Oxipurinol,Oxypurinol
Oxipurinolum,Oxypurinol
Oxoallopurinol,Oxypurinol
Oxyprim,Oxypurinol
Ecabet,Ecabet
Ecabet sodium,Ecabet
Ibudilastum,Ibudilast
(6S)-6-(propyl(2-(2-thienyl)ethyl)amino)-5 6 7 8-tetrahydro-1-naphthalenol,Rotigotine
Samarium (153 Sm) lexidronam,Samarium (153Sm) lexidronam
Samarium Sm-153 lexidronam,Samarium (153Sm) lexidronam
HBIG,Hepatitis B Immune Globulin
Hepatitis B Immune Globulin (Human),Hepatitis B Immune Globulin
Human hepatitis B immunoglobulin,Hepatitis B Immune Globulin
Human hepatitis B virus immune globulin,Hepatitis B Immune Globulin
Human hepatitis-B immunoglobulin,Hepatitis B Immune Globulin
(âˆ’)-(2R)-2-(2-fluorobiphenyl-4-yl)propanoic acid,Tarenflurbil
(2R)-2-(2-fluorobiphenyl-4-yl)propanoic acid,Tarenflurbil
(R)-2-fluoro-Î±-methyl(1 1'-biphenyl)-4-acetic acid,Tarenflurbil
(R)-flurbiprofen,Tarenflurbil
N-(4-Bromo-2-fluorophenyl)-6-methoxy-7-((1-methyl-4-piperidinyl)methoxy)-4-quinazolinamine,Vandetanib
N-(4-Bromo-2-fluorophenyl)-6-methoxy-7-((1-methylpiperidin-4-yl)methoxy)quinazolin-4-amine,Vandetanib
1Î± 25-dihydroxy-2Î_-(3-hydroxypropoxy)cholecalciferol,Eldecalcitol
DHA Paclitaxel,Paclitaxel docosahexaenoic acid
DHA-paclitaxel,Paclitaxel docosahexaenoic acid
Paclitaxel 2'-(all-cis-4 7 10 13 16 19-docosahexaenoate),Paclitaxel docosahexaenoic acid
Paclitaxel docosahexaenoic acid ester,Paclitaxel docosahexaenoic acid
Ad5FGF-4,Alferminogene Tadenovec
VB4-845,oportuzumab monatox
(2R)-2-propyloctanoic acid,Arundic acid
Ciliary neurotrophic factor (human),Ciliary neurotrophic factor
Human ciliary neurotrophic factor,Ciliary neurotrophic factor
Human CNTF,Ciliary neurotrophic factor
2-((R)-((3-methyl-4-(2 2 2-trifluoroethoxy)-2-pyridinyl)methyl)sulfinyl)-1H-benzimidazole,Dexlansoprazole
Rintega,Rindopepimut
4-Chlorophenyl 4-chlorobenzenesulfonate,Chlorfenson
Ester sulfonate,Chlorfenson
166Ho-DOTMP,DOTMP HO-166
Holmium Ho-166 DOTMP,DOTMP HO-166
1H-Imidazole-4-ethanamine,Histamine
2-(4-imidazolyl)ethylamine,Histamine
4-imidazoleethylamine,Histamine
5-imidazoleethylamine,Histamine
beta-aminoethylglyoxaline,Histamine
beta-aminoethylimidazole,Histamine
diiodine,Iodine
I2,Iodine
Jod,Iodine
molecular iodine,Iodine
Aminoguanidine,Pimagedine
Hydrazinecarboximidamide,Pimagedine
BufferGel,Carbopol 974P
Carbomer 974 (P),Carbopol 974P
Carbomer 974P,Carbopol 974P
carbomer homopolymer type b,Carbopol 974P
Carbomer homopolymer type B (allyl pentaerythritol crosslinked),Carbopol 974P
Carbomer-974P,Carbopol 974P
Carbopol polymer,Carbopol 974P
PRO 2000/5,PRO 2000
Corticoliberin human,Corticorelin
Corticorelin (human),Corticorelin
Corticotropin releasing hormone human,Corticorelin
Corticotropin-releasing factor,Corticorelin
Corticotropin-releasing factor (human),Corticorelin
Corticotropin-releasing hormone,Corticorelin
CRF,Corticorelin
hCRF,Corticorelin
Human corticoliberin,Corticorelin
Human corticotropin-releasing factor,Corticorelin
alb-IFN,Albinterferon Alfa-2B
Albinterferon,Albinterferon Alfa-2B
Albuferon alpha,Albinterferon Alfa-2B
Albumin-interferon alpha,Albinterferon Alfa-2B
GW 501516,GW-501516
PRS-013,OPC-14523
PEP-03,MLN-977
1-methylpropyl 2-imidazolyl disulfide,PX-12
1-[2-(biphenyl-4-yl)ethyl]-4-[3-(trifluoromethyl)phenyl]-1 2 3 6-tetrahydropyridine,Paliroden
gamma-Glutamyl-S-(benzyl)-cysteinyl-R(-)-phenylglycine diethyl ester,Ezatiostat
ISS 1018 CpG ODN,ISS-1018
Pradefovir mesilate,Pradefovir Mesylate
Recombinant alpha 1-antitrypsin,Recombinant alpha 1-antitrypsin
99mTc-ciprofloxacin,Technetium Tc-99m ciprofloxacin
Infecton,Technetium Tc-99m ciprofloxacin
Technetium (99mTc) ciprofloxacin,Technetium Tc-99m ciprofloxacin
Technetium Tc 99m ciprofloxacin,Technetium Tc-99m ciprofloxacin
INT-131,T131
(1S 3AR 6as)-(2S)-2-cyclohexyl-N-(pyrazinylcarbonyl)glycyl-3-methyl-L-valyl-N-((1S)-1-((cyclopropylamino)oxoacetyl)butyl)octahydrocyclopenta(c)pyrrole-1-carboxamide,Telaprevir
Fareletuzumab,Farletuzumab
Antimony (v) derivative OF sodium gluconate,Sodium stibogluconate
Antimony sodium gluconate,Sodium stibogluconate
Estibogluconato sodico,Sodium stibogluconate
Myostibin,Sodium stibogluconate
Natrii stibogluconas,Sodium stibogluconate
Sodium stibogluconate,Sodium stibogluconate
Stibanate,Sodium stibogluconate
Stibanose,Sodium stibogluconate
Stibatin,Sodium stibogluconate
Stibinol,Sodium stibogluconate
Stibogluconate de sodium,Sodium stibogluconate
Trisodium 1-{[3-carboxylato-5-(1 2-dihydroxyethyl)-1-hydroxy-2 6 7-trioxa-1lambda(5)-stibabicyclo[2.2.1]hept-1-yl]oxy}-5-(1 2-dihydroxyethyl)-1-oxido-2 6 7-trioxa-1lambda(5)-stibabicyclo[2.2.1]heptane-3-carboxylate nonahydrate,Sodium stibogluconate
Faropenem daloxate,faropenem medoxomil
SUN-208,faropenem medoxomil
EP 2104R,EP-2104R
Apremilast,Apremilast
AprÃ©milast,Apremilast
Apremilastum,Apremilast
N-{2-[(1S)-1-(3-Ethoxy-4-methoxyphenyl)-2-(methylsulfonyl)ethyl]-1 3-dioxo-2 3-dihydro-1H-isoindol-4-yl}acetamide,Apremilast
Stelera,Ustekinumab
3-(2 4-dimethoxybenzylidene)anabaseine,GTS-21
Dimethoxybenzylidene anabaseine,GTS-21
DMXB-A,GTS-21
DMXB-Anabaseine,GTS-21
AV430A,Gantacurium Chloride
PMD-3112,LY-517717
STA-4783,Elesclomol
NB S101,Strontium malonate
Varespladib methyl ester,Varespladib methyl
Ado-trastuzumab,Trastuzumab emtansine
Ado-trastuzumab emtansine,Trastuzumab emtansine
T-DM1,Trastuzumab emtansine
Trastuzumab emtansine,Trastuzumab emtansine
Trastuzumab-DM1,Trastuzumab emtansine
Trastuzumab-MCC-DM1,Trastuzumab emtansine
Thrombomodulin (human 498-amino acid fragment),Thrombomodulin Alfa
alpha-Glutamyltryptophan,Oglufanide
Glutamyltryptophan,Oglufanide
L-Glu-L-Trp,Oglufanide
L-glutamyl-L-tryptophan,Oglufanide
L-Î±-Glu-L-Trp,Oglufanide
Î±-Glu-Trp,Oglufanide
6-hydroxymethylacylfulvene,Irofulven
HMAF,Irofulven
Human relaxin 2 (relaxin h2),Serelaxin
Human relaxin recombinant,Serelaxin
Recombinant human relaxin,Serelaxin
((3S)-3-{1-((2R)-2-Ethoxycarbonyl-4-phenylbutyl)cyclopentanecarboxamido}-2-oxo-2 3 4 5-tetrahydro-1H-1-benzazepin-1-yl)acetic acid,Daglutril
Beta alethine,Alethine
Beta-alanyl cysteamine disulfide,Alethine
Beta-alethine,Alethine
Betathine,Alethine
(3-beta)-3-(Sulfooxy)androst-5-en-17-one,Prasterone sulfate
17-Ketoandrost-5-en-3beta-yl sulfate,Prasterone sulfate
17-oxoandrost-5-en-3Î_-yl hydrogen sulphate,Prasterone sulfate
3-O-Sulfodehydroepiandrosterone,Prasterone sulfate
3beta-Hydroxyandrost-5-en-17-one 3-sulfate,Prasterone sulfate
Androst-5-en-17-on-3beta-yl sulfuric acid,Prasterone sulfate
Dehydroepiandrosterone 3-sulfate,Prasterone sulfate
Dehydroepiandrosterone monosulfate,Prasterone sulfate
Dehydroepiandrosterone sulfate,Prasterone sulfate
Dehydroepiandrosterone sulphate,Prasterone sulfate
Dehydroisoandrosterone sulfate,Prasterone sulfate
Dehydroisoandrosterone-3-sulfate,Prasterone sulfate
DHEA sulfate,Prasterone sulfate
DHEA sulphate,Prasterone sulfate
DHEA-S,Prasterone sulfate
Prasterone sulphate,Prasterone sulfate
Karenitecin,Cositecan
(3Î_)-17-(pyridin-3-yl)androsta-5 16-dien-3-ol,Abiraterone
17-(3-Pyridyl)androsta-5 16-dien-3beta-ol,Abiraterone
Cloretazine,Laromustine
Onrigin,Laromustine
hPTH,Parathyroid hormone
hPTH(1-84),Parathyroid hormone
Parathormone,Parathyroid hormone
Parathormone (human recombinant),Parathyroid hormone
Parathyrin,Parathyroid hormone
Parathyroid hormone,Parathyroid hormone
parathyroid hormone (1-84) human recombinant,Parathyroid hormone
parathyroid hormone (rDNA),Parathyroid hormone
Preotact,Parathyroid hormone
PTH,Parathyroid hormone
PTH(1-84),Parathyroid hormone
rhPTH,Parathyroid hormone
rhPTH(1-84),Parathyroid hormone
rPTH,Parathyroid hormone
rPTH(1-84),Parathyroid hormone
(3E)-N-methyl-4-(pyridin-3-yl)but-3-en-1-amine,Rivanicline
(E)-metanicotine,Rivanicline
(E)-N-Methyl-4-(3-pyridinyl)-3-butene-1-amine,Rivanicline
N-methyl-4-(3-pyridinyl)-(3E)-3-buten-1-amine,Rivanicline
trans-metanicotine,Rivanicline
TASQ,Tasquinimod
2-oxopropanoic acid ethyl ester,Ethyl pyruvate
2-oxopropionic acid ethyl ester,Ethyl pyruvate
Ethyl 2-oxopropanoate,Ethyl pyruvate
Ethyl 2-oxopropionate,Ethyl pyruvate
Ethyl methylglyoxylate,Ethyl pyruvate
Pyruvic acid ethyl ester,Ethyl pyruvate
Pyruvic acid  ethyl ester,Ethyl pyruvate
(2S)-2-((4S)-4-(2 2-Difluoroethenyl)-2-oxopyrrolidin-1-yl)butanamide,Seletracetam
CMC 544,Inotuzumab ozogamicin
WAY-207294,Inotuzumab ozogamicin
6-ECDCA,Obeticholic acid
6-Ethyl-CDCA,Obeticholic acid
6-ethylchenodeoxycholic acid,Obeticholic acid
6alpha-Ethyl-chenodeoxycholic acid,Obeticholic acid
6Î±-ethylchenodeoxycholic acid,Obeticholic acid
(P-deoxy-P-(dimethylamino)](2' 3'-dideoxy-2' 3'-imino-2' 3'-seco)(2'aâ†’5')(C-m5U-C-C-A-A-C-A-m5U-C-A-A-G-G-A-A-G-A-m5U-G-G-C-A-m5U-m5U-m5U-C-m5U-A-G) 5'-(P-(4-((2-(2-(2-hydroxyethoxy)ethoxy)ethoxy)carbonyl)-1-piperazinyl)-N N-dimethylphosphonamidate) RNA,Eteplirsen
trans-N-{4-[2-[4-(2 3-dichlorophenyl)piperazine-1-yl]ethyl]cyclohexyl}-Nâ€™ Nâ€™-dimethylurea hydrochloride,Cariprazine
1-[2-[4-[5-chloro-1-(4-Fluorophenyl)-indol-3-yl]-1-piperidyl]ethyl]imidazolidin-2-one,Sertindole
SerLect,Sertindole
Sertindol,Sertindole
Sertindole,Sertindole
Sertindolum,Sertindole
Demycarosylturimycin H,Spiramycin
foromacidin A,Spiramycin
Foromacidine A,Spiramycin
Spiramycin 1,Spiramycin
Spiramycin A,Spiramycin
2-(P-Aminobenzenesulfonamido)thiazole,Sulfathiazole
2-(P-Aminobenzenesulphonamido)thiazole,Sulfathiazole
2-(Sulfanilylamino)thiazole,Sulfathiazole
2-Sulfanilamidothiazol,Sulfathiazole
2-Sulfanilamidothiazole,Sulfathiazole
2-Sulfonamidothiazole,Sulfathiazole
4-Amino-N-2-thiazolylbenzenesulfonamide,Sulfathiazole
N(1)-2-Thiazolylsulfanilamide,Sulfathiazole
N1-2-Thiazolylsulfanilamide,Sulfathiazole
Sulfanilamidothiazole,Sulfathiazole
Sulfathiazol,Sulfathiazole
Sulfathiazolum,Sulfathiazole
Sulfatiazol,Sulfathiazole
Sulphathiazole,Sulfathiazole
1 2 3 4 10 14b-Hexahydro-2-methyldibenzo(c F)pyrazino(1 2-a)azepine,Mianserin
Mianserina,Mianserin
Mianserine,Mianserin
Mianserinum,Mianserin
Mianseryna,Mianserin
TEIC,Teicoplanin
Teichomycin,Teicoplanin
Teichomycin a2 factor 2,Teicoplanin
2 4-dimethoxy-6-sulfanilamido-1 3-diazine,Sulfadimethoxine
2 6-Dimethoxy-4-(P-aminobenzenesulfonamido)pyrimidine,Sulfadimethoxine
2 6-Dimethoxy-4-sulfanilamidopyrimidine,Sulfadimethoxine
4-amino-N-(2 6-Dimethoxy-4-pyrimidinyl)benzenesulfonamide,Sulfadimethoxine
6-Sulfanilamido-2 4-dimethoxypyrimidine,Sulfadimethoxine
Abcid (tn),Sulfadimethoxine
Agribon (tn),Sulfadimethoxine
N(1)-(2 6-Dimethoxy-4-pyrimidinyl)sulfanilamide,Sulfadimethoxine
Sulfadimethoxine,Sulfadimethoxine
Sulfadimethoxinum,Sulfadimethoxine
Sulfadimethoxydiazine,Sulfadimethoxine
Sulfadimetoxina,Sulfadimethoxine
Sulphadimethoxine,Sulfadimethoxine
(2R)-2-acetylamino-3-sulfanylpropanoic acid,Acetylcysteine
(R)-2-acetylamino-3-mercaptopropanoic acid,Acetylcysteine
(R)-mercapturic acid,Acetylcysteine
Acetilcisteina,Acetylcysteine
Acetylcysteinum,Acetylcysteine
L-acetylcysteine,Acetylcysteine
L-Î±-acetamido-Î_-mercaptopropionic acid,Acetylcysteine
Mercapturic acid,Acetylcysteine
N-acetyl-L-(+)-cysteine,Acetylcysteine
N-acetyl-L-cysteine,Acetylcysteine
